"X1","X2","X3"
0.429,0.103,0.035
0.445,0.857,0.159
0.469,0.039,0.985
0.499,0.127,0.405
0.513,0.251,0.713
0.521,0.819,0.501
0.549,0.953,0.889
0.577,0.715,0.909
0.595,0.457,0.067
0.601,0.645,0.281
0.629,0.981,0.649
0.655,0.503,0.383
0.665,0.475,0.753
0.681,0.303,0.941
0.715,0.865,0.361
0.733,0.275,0.575
0.751,0.527,0.221
0.779,0.153,0.353
0.791,0.183,0.119
0.805,0.729,0.477
0.831,0.355,0.735
0.851,0.365,0.269
0.861,0.669,0.129
0.881,0.551,0.613
0.911,0.415,0.923
0.927,0.745,0.869
0.947,0.325,0.487
0.963,0.885,0.589
0.997,0.793,0.091
0.003,0.931,0.851
0.039,0.341,0.097
0.047,0.229,0.509
0.071,0.559,0.441
0.093,0.023,0.763
0.119,0.763,0.895
0.121,0.879,0.675
0.155,0.463,0.871
0.171,0.331,0.635
0.187,0.073,0.273
0.217,0.705,0.659
0.231,0.585,0.075
0.251,0.053,0.961
0.263,0.801,0.357
0.295,0.997,0.605
0.303,0.177,0.759
0.329,0.289,0.373
0.345,0.851,0.139
0.373,0.909,0.935
0.387,0.271,0.147
0.409,0.119,0.283
0.437,0.511,0.025
0.455,0.441,0.473
0.477,0.727,0.717
0.481,0.629,0.563
0.519,0.661,0.199
0.537,0.181,0.551
0.553,0.159,0.787
0.563,0.787,0.391
0.587,0.417,0.213
0.611,0.001,0.533
0.631,0.133,0.311
0.659,0.641,0.685
0.675,0.755,0.107
0.697,0.695,0.943
0.711,0.485,0.009
0.731,0.305,0.723
0.759,0.249,0.991
0.767,0.941,0.805
0.785,0.883,0.435
0.817,0.577,0.165
0.825,0.367,0.409
0.857,0.829,0.053
0.869,0.209,0.243
0.895,0.387,0.591
0.905,0.603,0.839
0.935,0.975,0.327
0.951,0.083,0.903
0.975,0.433,0.237
0.989,0.539,0.485
0.007,0.753,0.887
0.035,0.687,0.211
0.059,0.063,0.603
0.075,0.653,0.653
0.083,0.161,0.287
0.113,0.491,0.171
0.129,0.257,0.071
0.159,0.791,0.479
0.173,0.505,0.969
0.199,0.125,0.771
0.207,0.979,0.953
0.227,0.301,0.341
0.247,0.677,0.821
0.261,0.455,0.415
0.299,0.703,0.317
0.313,0.999,0.783
0.331,0.205,0.627
0.347,0.557,0.667
0.369,0.033,0.127
0.389,0.473,0.151
0.401,0.411,0.555
0.423,0.145,0.841
0.449,0.291,0.043
0.461,0.905,0.007
0.491,0.427,0.927
0.515,0.113,0.257
0.535,0.939,0.997
0.547,0.873,0.813
0.573,0.893,0.583
0.593,0.009,0.693
0.609,0.721,0.725
0.639,0.333,0.187
0.649,0.625,0.389
0.663,0.385,0.539
0.687,0.237,0.365
0.717,0.595,0.867
0.723,0.957,0.275
0.745,0.085,0.117
0.763,0.047,0.423
0.783,0.813,0.565
0.813,0.765,0.755
0.839,0.377,0.081
0.855,0.821,0.233
0.875,0.197,0.495
0.885,0.571,0.507
0.917,0.345,0.339
0.931,0.267,0.705
0.955,0.845,0.445
0.971,0.535,0.031
0.985,0.613,0.919
0.015,0.901,0.631
0.025,0.373,0.709
0.057,0.507,0.535
0.073,0.471,0.309
0.089,0.195,0.189
0.107,0.329,0.987
0.131,0.663,0.789
0.153,0.019,0.893
0.175,0.841,0.153
0.191,0.837,0.843
0.215,0.891,0.567
0.235,0.357,0.173
0.249,0.383,0.493
0.265,0.567,0.957
0.283,0.203,0.417
0.309,0.057,0.249
0.327,0.483,0.739
0.343,0.719,0.201
0.377,0.809,0.379
0.391,0.683,0.823
0.411,0.963,0.087
0.427,0.593,0.349
0.443,0.317,0.655
0.467,0.029,0.691
0.489,0.231,0.443
0.503,0.435,0.135
0.533,0.071,0.073
0.545,0.635,0.017
0.561,0.733,0.291
0.585,0.649,0.559
0.619,0.105,0.513
0.621,0.617,0.865
0.657,0.241,0.227
0.673,0.123,0.751
0.699,0.553,0.461
0.707,0.771,0.665
0.727,0.157,0.937
0.753,0.413,0.607
0.775,0.521,0.801
0.797,0.171,0.593
0.811,0.989,0.109
0.835,0.087,0.055
0.849,0.949,0.381
0.865,0.935,0.967
0.893,0.263,0.917
0.913,0.797,0.777
0.937,0.283,0.265
0.957,0.867,0.023
0.967,0.741,0.335
0.999,0.443,0.433
0.005,0.855,0.039
0.027,0.403,0.857
0.053,0.983,0.745
0.079,0.599,0.155
0.087,0.713,0.483
0.115,0.861,0.329
0.125,0.155,0.587
0.141,0.531,0.779
0.179,0.169,0.133
0.189,0.777,0.013
0.213,0.115,0.375
0.237,0.925,0.673
0.243,0.363,0.721
0.279,0.319,0.999
0.291,0.467,0.231
0.317,0.633,0.891
0.339,0.499,0.437
0.357,0.007,0.875
0.379,0.337,0.837
0.399,0.831,0.271
0.413,0.799,0.719
0.435,0.213,0.645
0.457,0.027,0.301
0.479,0.187,0.911
0.485,0.041,0.577
0.507,0.541,0.517
0.523,0.389,0.407
0.541,0.737,0.547
0.571,0.743,0.077
0.583,0.447,0.817
0.617,0.817,0.285
0.635,0.077,0.193
0.651,0.947,0.947
0.679,0.299,0.463
0.683,0.971,0.523
0.713,0.911,0.093
0.739,0.501,0.921
0.743,0.349,0.259
0.761,0.565,0.609
0.799,0.605,0.059
0.819,0.277,0.101
0.833,0.675,0.387
0.853,0.259,0.629
0.867,0.095,0.455
0.899,0.691,0.977
0.907,0.897,0.695
0.933,0.135,0.175
0.953,0.439,0.345
0.969,0.655,0.209
0.991,0.235,0.795
0.009,0.239,0.933
0.037,0.833,0.767
0.043,0.421,0.599
0.077,0.025,0.377
0.095,0.779,0.225
0.111,0.109,0.819
0.135,0.449,0.015
0.157,0.699,0.569
0.177,0.199,0.313
0.195,0.597,0.731
0.219,0.477,0.525
0.239,0.287,0.873
0.253,0.993,0.079
0.267,0.859,0.913
0.293,0.943,0.331
0.319,0.279,0.679
0.323,0.651,0.113
0.351,0.173,0.029
0.367,0.371,0.099
0.395,0.639,0.711
0.419,0.219,0.979
0.439,0.781,0.899
0.459,0.619,0.457
0.473,0.419,0.757
0.487,0.055,0.797
0.517,0.093,0.497
0.531,0.759,0.179
0.559,0.899,0.041
0.569,0.011,0.251
0.599,0.513,0.557
0.603,0.353,0.299
0.623,0.877,0.399
0.643,0.311,0.615
0.671,0.545,0.141
0.691,0.815,0.855
0.703,0.147,0.419
0.729,0.327,0.833
0.755,0.973,0.657
0.769,0.255,0.197
0.793,0.579,0.955
0.815,0.673,0.267
0.821,0.915,0.205
0.845,0.489,0.439
0.879,0.079,0.351
0.897,0.707,0.505
0.903,0.933,0.475
0.929,0.735,0.699
0.943,0.131,0.993
0.977,0.523,0.637
0.995,0.393,0.121
